<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20220904,230000,140.1500000,140.1520000,140.0100000,140.1520000,45
20220905,000000,140.1520000,140.1520000,140.0120000,140.1110000,66
20220905,010000,140.1240000,140.1800000,140.0760000,140.1460000,6515
20220905,020000,140.1560000,140.4310000,140.1070000,140.3320000,60640
20220905,030000,140.3300000,140.5500000,140.2900000,140.5390000,67597
20220905,040000,140.5340000,140.5560000,140.2500000,140.3070000,132960
20220905,050000,140.3070000,140.3280000,140.0900000,140.1630000,137405
20220905,060000,140.1590000,140.3610000,140.0900000,140.2880000,121507
20220905,070000,140.2880000,140.3500000,140.2200000,140.3420000,89357
20220905,080000,140.3470000,140.4210000,140.2700000,140.3510000,83703
20220905,090000,140.3510000,140.4830000,140.3000000,140.3470000,120627
20220905,100000,140.3470000,140.4530000,140.2700000,140.3560000,150950
20220905,110000,140.3540000,140.5970000,140.3100000,140.5610000,157749
20220905,120000,140.5690000,140.5890000,140.4100000,140.5350000,127629
20220905,130000,140.5400000,140.5690000,140.3500000,140.4290000,131542
20220905,140000,140.4210000,140.5010000,140.3700000,140.4900000,112741
20220905,150000,140.4900000,140.5570000,140.4400000,140.5020000,95401
20220905,160000,140.5020000,140.6510000,140.4700000,140.5830000,121577
20220905,170000,140.5870000,140.6640000,140.5100000,140.6080000,84501
20220905,180000,140.6000000,140.6260000,140.4700000,140.5560000,74056
20220905,190000,140.5580000,140.5590000,140.4500000,140.4770000,48286
20220905,200000,140.4770000,140.5540000,140.4600000,140.5300000,36619
20220905,210000,140.5300000,140.5550000,140.4900000,140.5400000,13204
20220905,220000,140.5440000,140.5680000,140.5100000,140.5400000,17841
20220905,230000,140.5340000,140.5690000,140.5000000,140.5420000,21809
20220906,000000,140.5420000,140.6100000,140.5100000,140.5620000,28159
20220906,010000,140.5720000,140.6130000,140.5380000,140.5740000,23399
20220906,020000,140.5840000,140.5900000,140.4100000,140.4660000,46213
20220906,030000,140.4660000,140.5120000,140.3200000,140.4320000,62180
20220906,040000,140.4320000,140.4530000,140.2200000,140.2790000,117551
20220906,050000,140.2720000,140.4310000,140.2600000,140.4010000,96851
20220906,060000,140.4110000,140.5680000,140.3600000,140.4770000,95361
20220906,070000,140.4730000,140.6090000,140.4400000,140.5960000,72460
20220906,080000,140.5960000,140.9650000,140.5400000,140.9240000,110292
20220906,090000,140.9280000,141.0990000,140.8200000,141.0400000,103903
20220906,100000,141.0400000,141.2400000,140.9900000,141.1760000,139172
20220906,110000,141.1750000,141.7370000,141.1300000,141.5340000,197544
20220906,120000,141.5350000,141.8640000,141.4800000,141.6890000,145638
20220906,130000,141.6840000,141.8000000,141.5500000,141.6630000,109478
20220906,140000,141.6550000,141.8120000,141.5400000,141.7500000,119460
20220906,150000,141.7550000,142.1070000,141.6900000,141.9060000,141142
20220906,160000,141.9070000,142.4020000,141.8500000,142.3780000,172290
20220906,170000,142.3780000,142.5560000,142.2900000,142.5480000,217795
20220906,180000,142.5630000,142.9370000,142.5200000,142.6930000,252108
20220906,190000,142.7030000,142.9760000,142.5400000,142.9490000,148374
20220906,200000,142.9500000,143.0750000,142.8000000,142.9290000,99597
20220906,210000,142.9270000,142.9690000,142.8000000,142.9440000,78485
20220906,220000,142.9440000,142.9690000,142.8200000,142.8830000,78449
20220906,230000,142.8860000,142.8890000,142.7300000,142.8050000,73580
20220907,000000,142.8010000,142.8370000,142.7600000,142.7830000,46254
20220907,010000,142.7890000,142.8000000,142.6650000,142.7550000,17894
20220907,020000,142.7550000,143.6040000,142.7300000,143.3360000,79415
20220907,030000,143.3360000,143.3690000,143.0100000,143.1580000,124183
20220907,040000,143.1580000,143.3400000,142.9000000,143.0980000,186718
20220907,050000,143.0890000,143.3160000,143.0200000,143.1650000,155772
20220907,060000,143.1610000,143.7370000,143.1200000,143.6930000,189825
20220907,070000,143.6910000,144.0910000,143.5400000,144.0000000,185084
20220907,080000,144.0000000,144.3860000,143.8200000,143.9910000,192387
20220907,090000,143.9810000,144.1620000,143.7300000,144.1340000,150301
20220907,100000,144.1430000,144.2540000,143.8600000,144.0940000,163968
20220907,110000,144.1000000,144.2060000,143.8300000,143.8980000,193623
20220907,120000,143.8980000,144.1010000,143.8500000,144.0520000,153880
20220907,130000,144.0530000,144.1870000,144.0000000,144.1150000,121098
20220907,140000,144.1080000,144.7260000,144.0700000,144.6920000,164954
20220907,150000,144.6990000,144.9920000,144.6400000,144.9640000,202828
20220907,160000,144.9590000,144.9660000,144.5600000,144.8200000,192547
20220907,170000,144.8190000,144.9520000,144.6300000,144.8640000,179581
20220907,180000,144.8660000,144.8820000,144.1900000,144.4950000,218853
20220907,190000,144.4940000,144.5720000,144.2800000,144.3810000,139687
20220907,200000,144.3850000,144.4480000,144.1300000,144.3000000,104320
20220907,210000,144.2900000,144.3200000,143.8200000,143.9360000,125434
20220907,220000,143.9270000,144.1490000,143.9000000,144.1340000,94569
20220907,230000,144.1350000,144.1440000,143.6400000,143.7200000,89899
20220908,000000,143.7170000,143.8550000,143.6650000,143.7500000,50326
20220908,010000,143.7380000,143.8100000,143.6760000,143.7400000,13646
20220908,020000,143.7400000,144.1340000,143.6980000,144.0200000,62418
20220908,030000,144.0240000,144.3130000,143.9800000,144.0890000,81213
20220908,040000,144.0890000,144.5610000,143.9600000,144.3250000,136830
20220908,050000,144.3300000,144.3350000,143.9000000,144.1380000,139849
20220908,060000,144.1420000,144.2530000,144.0400000,144.1950000,87561
20220908,070000,144.2000000,144.3130000,143.9300000,144.0000000,121327
20220908,080000,143.9960000,144.0460000,143.6700000,144.0030000,104485
20220908,090000,143.9980000,144.1190000,143.5100000,143.7460000,129892
20220908,100000,143.7560000,143.8140000,143.4300000,143.6590000,151772
20220908,110000,143.6550000,143.9330000,143.5900000,143.8210000,170565
20220908,120000,143.8220000,144.1490000,143.4180000,144.0360000,189918
20220908,130000,144.0420000,144.1360000,143.8100000,143.8720000,104202
20220908,140000,143.8680000,143.9180000,143.5800000,143.6720000,106597
20220908,150000,143.6720000,143.7310000,143.2900000,143.4710000,129723
20220908,160000,143.4830000,144.1650000,143.3780000,144.1260000,291850
20220908,170000,144.1290000,144.4450000,143.7000000,143.9360000,332635
20220908,180000,143.9320000,144.2060000,143.8600000,143.9550000,198406
20220908,190000,143.9540000,144.0850000,143.8100000,144.0690000,129372
20220908,200000,144.0720000,144.2480000,143.9900000,144.1240000,128699
20220908,210000,144.1230000,144.1780000,143.8500000,144.0560000,104950
20220908,220000,144.0540000,144.0810000,143.8500000,144.0120000,80357
20220908,230000,144.0160000,144.0210000,143.9200000,144.0130000,57451
20220909,000000,144.0160000,144.1190000,143.9600000,144.1060000,38109
20220909,010000,144.0980000,144.1170000,144.0590000,144.1000000,40665
20220909,020000,144.1030000,144.1220000,143.8300000,143.9900000,60405
20220909,030000,143.9960000,144.0160000,143.7700000,143.8740000,67721
20220909,040000,143.8720000,143.9610000,143.6000000,143.7900000,151071
20220909,050000,143.7860000,143.8340000,143.5500000,143.6560000,146144
